job_link,job_desc
"Notice to the candidates for getting withheld recommendation released for the post of Library Assistant, Item No 086 (02 of 2017)",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18039&type=n
"Selection list of candidates for the left out post of ""Vet.Pharmacist"", (Animal/Sheep Husbandary Department), District Cadre Kishtiwar, item No.534 (06 of 2015 Dated:-01-09-2015).													
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18033&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Poonch, Item No 071 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18024&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Srinagar, Item No 072 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18023&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Samba, Item No 073 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18022&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Udhampur, Item No 074 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18021&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Reasi, Item No 075 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18020&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Rajouri, Item No 076 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18019&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Kathua, Item No 077 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18018&type=n
" Selection  list of candidates for  the post of Laboratory Assistant(School Education Department), District Cadre Ramban, Item No 078 (02 of2017 Dated:-18-10-2017)												
",http://jkssb.nic.in/../../Pdf/Downloader.ashx?nid=18017&type=n
